protein	KO	enrichM_annotation
WP_012078702.1	K01626	"E2.5.1.54, aroF, aroG, aroH; 3-deoxy-7-phosphoheptulonate synthase [EC:2.5.1.54]"
custom_1831756_23	K03522	"fixB, etfA; electron transfer flavoprotein alpha subunit"
custom_1726089_27	K01455	E3.5.1.49; formamidase [EC:3.5.1.49]
custom_457348_66	K02867	"RP-L11, MRPL11, rplK; large subunit ribosomal protein L11"
custom_457348_64	K02864	"RP-L10, MRPL10, rplJ; large subunit ribosomal protein L10"
custom_2082819_29	K02881	"RP-L18, MRPL18, rplR; large subunit ribosomal protein L18"
custom_2386055_102	K07263	pqqL; zinc protease [EC:3.4.24.-]
custom_2386055_72	K01826	"hpaF, hpcD; 5-carboxymethyl-2-hydroxymuconate isomerase [EC:5.3.3.10]"
custom_256864_25	K00681	ggt; gamma-glutamyltranspeptidase / glutathione hydrolase [EC:2.3.2.2 3.4.19.13]
custom_2505388_88	K01933	purM; phosphoribosylformylglycinamidine cyclo-ligase [EC:6.3.3.1]
custom_441573_4	K02970	"RP-S21, MRPS21, rpsU; small subunit ribosomal protein S21"
custom_1643833_45	K20034	dmdB; 3-(methylthio)propionyl---CoA ligase [EC:6.2.1.44]
custom_1436129_41	K18189	TACO1; translational activator of cytochrome c oxidase 1
custom_1436129_36	K01945	purD; phosphoribosylamine---glycine ligase [EC:6.3.4.13]
custom_1595129_20	K00939	"adk, AK; adenylate kinase [EC:2.7.4.3]"
custom_482622_37	K03561	exbB; biopolymer transport protein ExbB
custom_1438714_32	K01649	"leuA, IMS; 2-isopropylmalate synthase [EC:2.3.3.13]"
custom_634769_34	K04751	glnB; nitrogen regulatory protein P-II 1
custom_2177271_9	K06142	"hlpA, ompH; outer membrane protein"
custom_2051367_69	K01714	dapA; 4-hydroxy-tetrahydrodipicolinate synthase [EC:4.3.3.7]
custom_2051367_84	K01937	"pyrG, CTPS; CTP synthase [EC:6.3.4.2]"
custom_1420800_10	K03634	lolA; outer membrane lipoprotein carrier protein
custom_1240089_28	K01251	"E3.3.1.1, ahcY; adenosylhomocysteinase [EC:3.3.1.1]"
WP_012250213.1	K02902	"RP-L28, MRPL28, rpmB; large subunit ribosomal protein L28"
WP_012349084.1	K11903	hcp; type VI secretion system secreted protein Hcp
custom_1786581_1	K02406	fliC; flagellin
WP_012695740.1	K02355	"fusA, GFM, EFG; elongation factor G"
custom_690371_48	K03442	mscS; small conductance mechanosensitive channel
WP_013029265.1	K15864	nirS; nitrite reductase (NO-forming) / hydroxylamine reductase [EC:1.7.2.1 1.7.99.1]
custom_151145_7	K03599	"sspA, mglA; stringent starvation protein A"
WP_013396539.1	K02014	TC.FEV.OM; iron complex outermembrane recepter protein
WP_013621710.1	K02355	"fusA, GFM, EFG; elongation factor G"
custom_103292_8	K03086	rpoD; RNA polymerase primary sigma factor
WP_013804383.1	K00525	"E1.17.4.1A, nrdA, nrdE; ribonucleoside-diphosphate reductase alpha chain [EC:1.17.4.1]"
WP_014197822.1	K04077	"groEL, HSPD1; chaperonin GroEL"
WP_014203122.1	K04077	"groEL, HSPD1; chaperonin GroEL"
WP_014235783.1	K01887	"RARS, argS; arginyl-tRNA synthetase [EC:6.1.1.19]"
custom_374984_8	K07785	"nrsD, nreB; MFS transporter, NRE family, putaive nickel resistance protein"
WP_014960846.1	K04077	"groEL, HSPD1; chaperonin GroEL"
WP_015434501.1	K00411	"UQCRFS1, RIP1, petA; ubiquinol-cytochrome c reductase iron-sulfur subunit [EC:7.1.1.8]"
WP_015434858.1	K13038	"coaBC, dfp; phosphopantothenoylcysteine decarboxylase / phosphopantothenate---cysteine ligase [EC:4.1.1.36 6.3.2.5]"
WP_015435059.1	K02406	fliC; flagellin
custom_910135_7	K01956	"carA, CPA1; carbamoyl-phosphate synthase small subunit [EC:6.3.5.5]"
WP_015437424.1	K06596&K02487	NA
WP_015437430.1	K01465	"URA4, pyrC; dihydroorotase [EC:3.5.2.3]"
WP_015437569.1	K02933	"RP-L6, MRPL6, rplF; large subunit ribosomal protein L6"
custom_1694415_7	K01599	"hemE, UROD; uroporphyrinogen decarboxylase [EC:4.1.1.37]"
custom_110810_5	K02557	motB; chemotaxis protein MotB
custom_588062_47	K19172	dndE; DNA sulfur modification protein DndE
custom_1198088_3	K00266	gltD; glutamate synthase (NADPH) small chain [EC:1.4.1.13]
AGN11881.1	K13614	pksN; polyketide synthase PksN
custom_2386055_98	K04065	osmY; hyperosmotically inducible periplasmic protein
custom_1198340_26	K12339	cysM; S-sulfo-L-cysteine synthase (O-acetyl-L-serine-dependent) [EC:2.5.1.144]
custom_718365_16	K00135	gabD; succinate-semialdehyde dehydrogenase / glutarate-semialdehyde dehydrogenase [EC:1.2.1.16 1.2.1.79 1.2.1.20]
custom_2536258_2	K01867	"WARS, trpS; tryptophanyl-tRNA synthetase [EC:6.1.1.2]"
WP_018604476.1	K01995	livG; branched-chain amino acid transport system ATP-binding protein
WP_018607106.1	K03526	"gcpE, ispG; (E)-4-hydroxy-3-methylbut-2-enyl-diphosphate synthase [EC:1.17.7.1 1.17.7.3]"
custom_2434850_9	K03702	uvrB; excinuclease ABC subunit B
WP_018990758.1	K00344	"qor, CRYZ; NADPH:quinone reductase [EC:1.6.5.5]"
WP_019227724.1	K03738	aor; aldehyde:ferredoxin oxidoreductase [EC:1.2.7.5]
WP_019645921.1	K00626	"E2.3.1.9, atoB; acetyl-CoA C-acetyltransferase [EC:2.3.1.9]"
custom_90585_66	K07390	"grxD, GLRX5; monothiol glutaredoxin"
custom_1063998_11	K07275	ompW; outer membrane protein
custom_1109084_7	K20937	boh; 1-butanol dehydrogenase (quinone) [EC:1.1.5.11]
EPR32470.1	K02358	"tuf, TUFM; elongation factor Tu"
WP_021249792.1	K02909	"RP-L31, rpmE; large subunit ribosomal protein L31"
WP_021275036.1	K02358	"tuf, TUFM; elongation factor Tu"
CCL39299.1	K01689	"ENO, eno; enolase [EC:4.2.1.11]"
WP_022634846.1	K00163	aceE; pyruvate dehydrogenase E1 component [EC:1.2.4.1]
WP_022652508.1	K18929	lldF; L-lactate dehydrogenase complex protein LldF
WP_022710745.1	K00138	aldB; aldehyde dehydrogenase [EC:1.2.1.-]
WP_022951868.1	K00163	aceE; pyruvate dehydrogenase E1 component [EC:1.2.4.1]
custom_2394709_11	K04751	glnB; nitrogen regulatory protein P-II 1
custom_1266269_12	K01006	"ppdK; pyruvate, orthophosphate dikinase [EC:2.7.9.1]"
custom_1425952_3	K01778	dapF; diaminopimelate epimerase [EC:5.1.1.7]
custom_1943484_10	K01895	"ACSS1_2, acs; acetyl-CoA synthetase [EC:6.2.1.1]"
EUJ10527.1	K00973	"rfbA, rmlA, rffH; glucose-1-phosphate thymidylyltransferase [EC:2.7.7.24]"
custom_1643209_28	K01876	aspS; aspartyl-tRNA synthetase [EC:6.1.1.12]
custom_2527260_31	K15724	erpA; iron-sulfur cluster insertion protein
custom_1073951_13	K06076	fadL; long-chain fatty acid transport protein
custom_2464157_13	K07220	K07220; uncharacterized protein
custom_1642538_6	K07220	K07220; uncharacterized protein
custom_2042182_4	K03072	secD; preprotein translocase subunit SecD
custom_1625746_31	K01868	"TARS, thrS; threonyl-tRNA synthetase [EC:6.1.1.3]"
custom_368218_41	K00029	"E1.1.1.40, maeB; malate dehydrogenase (oxaloacetate-decarboxylating)(NADP+) [EC:1.1.1.40]"
custom_630910_11	K02274	"coxA, ctaD; cytochrome c oxidase subunit I [EC:7.1.1.9]"
custom_594501_23	K00609	"pyrB, PYR2; aspartate carbamoyltransferase catalytic subunit [EC:2.1.3.2]"
custom_4160_3	K00382	"DLD, lpd, pdhD; dihydrolipoamide dehydrogenase [EC:1.8.1.4]"
custom_2414235_19	K01897	"ACSL, fadD; long-chain acyl-CoA synthetase [EC:6.2.1.3]"
custom_268573_15	K01991	"wza, gfcE; polysaccharide biosynthesis/export protein"
custom_619230_2	K10001	"gltI, aatJ; glutamate/aspartate transport system substrate-binding protein"
custom_619230_6	K00937	ppk; polyphosphate kinase [EC:2.7.4.1]
custom_2350624_14	K03071	secB; preprotein translocase subunit SecB
custom_1607093_14	K03673	dsbA; protein dithiol oxidoreductase (disulfide-forming) [EC:1.8.4.15]
custom_1647530_42	K00172	"porC, porG; pyruvate ferredoxin oxidoreductase gamma subunit [EC:1.2.7.1]"
custom_1855743_21	K02904	"RP-L29, rpmC; large subunit ribosomal protein L29"
custom_153580_9	K03769	ppiC; peptidyl-prolyl cis-trans isomerase C [EC:5.2.1.8]
custom_2460260_5	K14448	mcd; (2S)-methylsuccinyl-CoA dehydrogenase [EC:1.3.8.12]
WP_024901274.1	K01915	"glnA, GLUL; glutamine synthetase [EC:6.3.1.2]"
custom_2185071_11	K00239	"sdhA, frdA; succinate dehydrogenase / fumarate reductase, flavoprotein subunit [EC:1.3.5.1 1.3.5.4]"
WP_026203059.1	K12368	dppA; dipeptide transport system substrate-binding protein
WP_026259429.1	K00265	gltB; glutamate synthase (NADPH) large chain [EC:1.4.1.13]
WP_026608450.1	K02111	"ATPF1A, atpA; F-type H+/Na+-transporting ATPase subunit alpha [EC:7.1.2.2 7.2.2.1]"
WP_026685499.1	K02495	"hemN, hemZ; oxygen-independent coproporphyrinogen III oxidase [EC:1.3.98.3]"
custom_951625_2	K00620	argJ; glutamate N-acetyltransferase / amino-acid N-acetyltransferase [EC:2.3.1.35 2.3.1.1]
custom_1988688_104	K00261	"GLUD1_2, gdhA; glutamate dehydrogenase (NAD(P)+) [EC:1.4.1.3]"
WP_027015563.1	K01256	pepN; aminopeptidase N [EC:3.4.11.2]
WP_027300990.1	K02052	ABC.SP.A; putative spermidine/putrescine transport system ATP-binding protein
custom_131521_1	K00332	nuoC; NADH-quinone oxidoreductase subunit C [EC:7.1.1.2]
custom_681527_5	K02653	pilC; type IV pilus assembly protein PilC
custom_802408_4	K09796	pccA; periplasmic copper chaperone A
WP_027458401.1	K03770	ppiD; peptidyl-prolyl cis-trans isomerase D [EC:5.2.1.8]
custom_1231354_7	K00826	"E2.6.1.42, ilvE; branched-chain amino acid aminotransferase [EC:2.6.1.42]"
custom_2043143_2	K04078	"groES, HSPE1; chaperonin GroES"
WP_028205129.1	K03522	"fixB, etfA; electron transfer flavoprotein alpha subunit"
WP_028445226.1	K01962	accA; acetyl-CoA carboxylase carboxyl transferase subunit alpha [EC:6.4.1.2 2.1.3.15]
WP_028475509.1	K02406	fliC; flagellin
WP_028600977.1	K09136	ycaO; ribosomal protein S12 methylthiotransferase accessory factor
WP_028873871.1	K00789	metK; S-adenosylmethionine synthetase [EC:2.5.1.6]
WP_028957231.1	K02358	"tuf, TUFM; elongation factor Tu"
custom_188738_2	K01465	"URA4, pyrC; dihydroorotase [EC:3.5.2.3]"
custom_1610978_10	K01523	hisE; phosphoribosyl-ATP pyrophosphohydrolase [EC:3.6.1.31]
custom_1170661_35	K03521	"fixA, etfB; electron transfer flavoprotein beta subunit"
WP_029046402.1	K00208	fabI; enoyl-[acyl-carrier protein] reductase I [EC:1.3.1.9 1.3.1.10]
CDW93318.1	K01756	"purB, ADSL; adenylosuccinate lyase [EC:4.3.2.2]"
custom_1248200_15	K15894	"pseB; UDP-N-acetylglucosamine 4,6-dehydratase [EC:4.2.1.115]"
custom_32346_11	K06142	"hlpA, ompH; outer membrane protein"
custom_2125609_8	K01689	"ENO, eno; enolase [EC:4.2.1.11]"
custom_2347006_10	K02652	pilB; type IV pilus assembly protein PilB
custom_908686_24	K03071	secB; preprotein translocase subunit SecB
custom_698909_2	K02115	"ATPF1G, atpG; F-type H+-transporting ATPase subunit gamma"
custom_983744_16	K02109	"ATPF0B, atpF; F-type H+-transporting ATPase subunit b"
custom_527357_5	K01507	ppa; inorganic pyrophosphatase [EC:3.6.1.1]
custom_569679_17	K07258	"dacC, dacA, dacD; serine-type D-Ala-D-Ala carboxypeptidase (penicillin-binding protein 5/6) [EC:3.4.16.4]"
custom_1877077_21	K13993	HSP20; HSP20 family protein
custom_2072810_4	K01687	ilvD; dihydroxy-acid dehydratase [EC:4.2.1.9]
custom_199094_4	K19784	"chrR, NQR; chromate reductase, NAD(P)H dehydrogenase (quinone)"
custom_1905622_6	K02996	"RP-S9, MRPS9, rpsI; small subunit ribosomal protein S9"
custom_1553011_1	K02657	pilG; twitching motility two-component system response regulator PilG
custom_1159519_8	K00297	"metF, MTHFR; methylenetetrahydrofolate reductase (NADPH) [EC:1.5.1.20]"
custom_1915736_6	K02867	"RP-L11, MRPL11, rplK; large subunit ribosomal protein L11"
custom_1707273_14	K03442	mscS; small conductance mechanosensitive channel
custom_2535064_10	K00172	"porC, porG; pyruvate ferredoxin oxidoreductase gamma subunit [EC:1.2.7.1]"
custom_737749_13	K04771	"degP, htrA; serine protease Do [EC:3.4.21.107]"
custom_2163134_2	K03530	hupB; DNA-binding protein HU-beta
custom_466545_5	K07397	yhfA; putative redox protein
custom_1480610_2	K08970	rcnA; nickel/cobalt transporter (NicO) family protein
custom_959276_6	K14449	"mch, mcd; 2-methylfumaryl-CoA hydratase [EC:4.2.1.148]"
custom_2017206_6	K01652	"E2.2.1.6L, ilvB, ilvG, ilvI; acetolactate synthase I/II/III large subunit [EC:2.2.1.6]"
custom_816041_10	K09983	K09983; uncharacterized protein
custom_2347006_11	K00029	"E1.1.1.40, maeB; malate dehydrogenase (oxaloacetate-decarboxylating)(NADP+) [EC:1.1.1.40]"
custom_2410029_20	K01714	dapA; 4-hydroxy-tetrahydrodipicolinate synthase [EC:4.3.3.7]
custom_1874189_15	K03522	"fixB, etfA; electron transfer flavoprotein alpha subunit"
custom_1874189_4	K02474	wbpO; UDP-N-acetyl-D-galactosamine dehydrogenase [EC:1.1.1.-]
custom_42213_57	K02878	"RP-L16, MRPL16, rplP; large subunit ribosomal protein L16"
custom_42213_55	K02961	"RP-S17, MRPS17, rpsQ; small subunit ribosomal protein S17"
custom_42213_48	K02881	"RP-L18, MRPL18, rplR; large subunit ribosomal protein L18"
custom_1360830_30	K06958	rapZ; RNase adapter protein RapZ
KGA11706.1	K01895	"ACSS1_2, acs; acetyl-CoA synthetase [EC:6.2.1.1]"
WP_033753737.1	K00029	"E1.1.1.40, maeB; malate dehydrogenase (oxaloacetate-decarboxylating)(NADP+) [EC:1.1.1.40]"
WP_033831047.1	K02406	fliC; flagellin
WP_034997194.1	K02988	"RP-S5, MRPS5, rpsE; small subunit ribosomal protein S5"
WP_035674767.1	K02437	"gcvH, GCSH; glycine cleavage system H protein"
WP_035708607.1	K00940	"ndk, NME; nucleoside-diphosphate kinase [EC:2.7.4.6]"
custom_1018498_7	K02058	ABC.SS.S; simple sugar transport system substrate-binding protein
custom_1235136_11	K14393	actP; cation/acetate symporter
WP_035933059.1	K02933	"RP-L6, MRPL6, rplF; large subunit ribosomal protein L6"
WP_037015587.1	K01999	livK; branched-chain amino acid transport system substrate-binding protein
WP_037016151.1	K21395	yiaO; TRAP-type transport system periplasmic protein
WP_037038705.1	K00134	"GAPDH, gapA; glyceraldehyde 3-phosphate dehydrogenase [EC:1.2.1.12]"
custom_2344004_2	K02878	"RP-L16, MRPL16, rplP; large subunit ribosomal protein L16"
WP_038212960.1	K01895	"ACSS1_2, acs; acetyl-CoA synthetase [EC:6.2.1.1]"
custom_900817_14	K02956	"RP-S15, MRPS15, rpsO; small subunit ribosomal protein S15"
WP_038304535.1	K02012	"afuA, fbpA; iron(III) transport system substrate-binding protein"
custom_225313_12	K02078	acpP; acyl carrier protein
custom_1184480_252	K04564	"SOD2; superoxide dismutase, Fe-Mn family [EC:1.15.1.1]"
WP_038487470.1	K00031	"IDH1, IDH2, icd; isocitrate dehydrogenase [EC:1.1.1.42]"
WP_038489687.1	K01999	livK; branched-chain amino acid transport system substrate-binding protein
custom_1011633_27	K02003	ABC.CD.A; putative ABC transport system ATP-binding protein
WP_041576535.1	K01652	"E2.2.1.6L, ilvB, ilvG, ilvI; acetolactate synthase I/II/III large subunit [EC:2.2.1.6]"
custom_462578_19	K03746	hns; DNA-binding protein H-NS
WP_043949301.1	K02358	"tuf, TUFM; elongation factor Tu"
CFX10477.1	K00240	"sdhB, frdB; succinate dehydrogenase / fumarate reductase, iron-sulfur subunit [EC:1.3.5.1 1.3.5.4]"
WP_045364616.1	K01903	sucC; succinyl-CoA synthetase beta subunit [EC:6.2.1.5]
KJS19400.1	K17321	glpV; glycerol transport system substrate-binding protein
WP_045836594.1	K15726	"czcA, cusA, cnrA; heavy metal efflux system protein"
WP_046022935.1	K00940	"ndk, NME; nucleoside-diphosphate kinase [EC:2.7.4.6]"
custom_1614182_149	K04077	"groEL, HSPD1; chaperonin GroEL"
WP_047194715.1	K00164	"OGDH, sucA; 2-oxoglutarate dehydrogenase E1 component [EC:1.2.4.2]"
custom_1455919_12	K02112	"ATPF1B, atpD; F-type H+/Na+-transporting ATPase subunit beta [EC:7.1.2.2 7.2.2.1]"
custom_368612_3	K01689	"ENO, eno; enolase [EC:4.2.1.11]"
KMY86703.1	K03768	"PPIB, ppiB; peptidyl-prolyl cis-trans isomerase B (cyclophilin B) [EC:5.2.1.8]"
custom_228124_12	K03671	trxA; thioredoxin 1
WP_050414481.1	K01886	"QARS, glnS; glutaminyl-tRNA synthetase [EC:6.1.1.18]"
custom_1283493_2	K04752	glnK; nitrogen regulatory protein P-II 2
WP_052231550.1	K01756	"purB, ADSL; adenylosuccinate lyase [EC:4.3.2.2]"
custom_1967137_14	K15727	"czcB, cusB, cnrB; membrane fusion protein, heavy metal efflux system"
WP_053422045.1	K02454	gspE; general secretion pathway protein E [EC:7.4.2.8]
WP_054000501.1	K02863	"RP-L1, MRPL1, rplA; large subunit ribosomal protein L1"
WP_054022278.1	K04087	hflC; modulator of FtsH protease HflC
custom_1256517_64	K02653	pilC; type IV pilus assembly protein PilC
KPK04483.1	K19345	nirF; protein NirF
custom_400793_13	K00333	nuoD; NADH-quinone oxidoreductase subunit D [EC:7.1.1.2]
KPK70977.1	K00615	"E2.2.1.1, tktA, tktB; transketolase [EC:2.2.1.1]"
WP_054342072.1	K03386	"PRDX2_4, ahpC; peroxiredoxin (alkyl hydroperoxide reductase subunit C) [EC:1.11.1.15]"
custom_1428251_10	K15725	"czcC, cusC, cnrC; outer membrane protein, heavy metal efflux system"
WP_055786947.1	K03521	"fixA, etfB; electron transfer flavoprotein beta subunit"
custom_986625_123	K02892	"RP-L23, MRPL23, rplW; large subunit ribosomal protein L23"
custom_2245854_118	K00281	"GLDC, gcvP; glycine dehydrogenase [EC:1.4.4.2]"
custom_751503_18	K03704	cspA; cold shock protein
custom_484505_222	K02996	"RP-S9, MRPS9, rpsI; small subunit ribosomal protein S9"
WP_056098397.1	K00164	"OGDH, sucA; 2-oxoglutarate dehydrogenase E1 component [EC:1.2.4.2]"
custom_148584_10	K07275	ompW; outer membrane protein
custom_2596476_69	K02871	"RP-L13, MRPL13, rplM; large subunit ribosomal protein L13"
WP_056449636.1	K03070	secA; preprotein translocase subunit SecA [EC:7.4.2.8]
WP_056667571.1	K02014	TC.FEV.OM; iron complex outermembrane recepter protein
WP_056667784.1	K01595	ppc; phosphoenolpyruvate carboxylase [EC:4.1.1.31]
custom_1647137_7	K02356	efp; elongation factor P
WP_057052946.1	K00658	"DLST, sucB; 2-oxoglutarate dehydrogenase E2 component (dihydrolipoamide succinyltransferase) [EC:2.3.1.61]"
custom_107365_3	K13993	HSP20; HSP20 family protein
WP_058085799.1	K00939	"adk, AK; adenylate kinase [EC:2.7.4.3]"
custom_1132579_34	K02014	TC.FEV.OM; iron complex outermembrane recepter protein
WP_058538903.1	K02014	TC.FEV.OM; iron complex outermembrane recepter protein
WP_058698182.1	K03111	ssb; single-strand DNA-binding protein
custom_932774_60	K07275	ompW; outer membrane protein
custom_1167007_24	K03559	exbD; biopolymer transport protein ExbD
custom_50663_24	K07386	pepO; putative endopeptidase [EC:3.4.24.-]
KXJ49292.1	K00133	asd; aspartate-semialdehyde dehydrogenase [EC:1.2.1.11]
KXK12513.1	K07335	"bmpA, bmpB, tmpC; basic membrane protein A and related proteins"
KXK27170.1	K03561	exbB; biopolymer transport protein ExbB
KXS32231.1	K00102	"LDHD, dld; D-lactate dehydrogenase (cytochrome) [EC:1.1.2.4]"
WP_061503406.1	K00208	fabI; enoyl-[acyl-carrier protein] reductase I [EC:1.3.1.9 1.3.1.10]
custom_937990_24	K00413	"CYC1, CYT1, petC; ubiquinol-cytochrome c reductase cytochrome c1 subunit"
custom_635376_39	K07386	pepO; putative endopeptidase [EC:3.4.24.-]
custom_2057606_65	K07277	"SAM50, TOB55, bamA; outer membrane protein insertion porin family"
custom_1437062_8	K01284	dcp; peptidyl-dipeptidase Dcp [EC:3.4.15.5]
custom_1572378_71	K06596&K02487	NA
custom_1611079_85	K00600	"glyA, SHMT; glycine hydroxymethyltransferase [EC:2.1.2.1]"
custom_2418293_16	K19802	"ycjG, ykfB; L-Ala-D/L-Glu epimerase [EC:5.1.1.20]"
custom_2418293_177	K03559	exbD; biopolymer transport protein ExbD
WP_062537947.1	K01870	"IARS, ileS; isoleucyl-tRNA synthetase [EC:6.1.1.5]"
custom_1970371_102	K02112	"ATPF1B, atpD; F-type H+/Na+-transporting ATPase subunit beta [EC:7.1.2.2 7.2.2.1]"
AND68027.1	K00330	nuoA; NADH-quinone oxidoreductase subunit A [EC:7.1.1.2]
custom_761852_1	K03169	topB; DNA topoisomerase III [EC:5.6.2.1]
custom_46571_3	K00145	argC; N-acetyl-gamma-glutamyl-phosphate reductase [EC:1.2.1.38]
SBT09004.1	K06958	rapZ; RNase adapter protein RapZ
custom_299854_10	K08691	mcl; malyl-CoA/(S)-citramalyl-CoA lyase [EC:4.1.3.24 4.1.3.25]
custom_2148052_43	K13643	"iscR; Rrf2 family transcriptional regulator, iron-sulfur cluster assembly transcription factor"
custom_1112459_44	K04077	"groEL, HSPD1; chaperonin GroEL"
WP_066178749.1	K01738	cysK; cysteine synthase [EC:2.5.1.47]
WP_066534385.1	K00311	ETFDH; electron-transferring-flavoprotein dehydrogenase [EC:1.5.5.1]
WP_066880780.1	K01255	"CARP, pepA; leucyl aminopeptidase [EC:3.4.11.1]"
WP_067109846.1	K01255	"CARP, pepA; leucyl aminopeptidase [EC:3.4.11.1]"
WP_068082899.1	K01647	"CS, gltA; citrate synthase [EC:2.3.3.1]"
WP_068417668.1	K01847	MUT; methylmalonyl-CoA mutase [EC:5.4.99.2]
custom_1276403_15	K03704	cspA; cold shock protein
WP_068608689.1	K00123	"fdoG, fdhF, fdwA; formate dehydrogenase major subunit [EC:1.17.1.9]"
custom_2348437_30	K01945	purD; phosphoribosylamine---glycine ligase [EC:6.3.4.13]
WP_068672920.1	K03821	"phbC, phaC; polyhydroxyalkanoate synthase subunit PhaC [EC:2.3.1.-]"
custom_463193_4	K14393	actP; cation/acetate symporter
custom_461493_14	K02881	"RP-L18, MRPL18, rplR; large subunit ribosomal protein L18"
WP_068808433.1	K02982	"RP-S3, rpsC; small subunit ribosomal protein S3"
custom_2134916_2	K03768	"PPIB, ppiB; peptidyl-prolyl cis-trans isomerase B (cyclophilin B) [EC:5.2.1.8]"
WP_069444877.1	K02358	"tuf, TUFM; elongation factor Tu"
custom_1453879_3	K10552	frcB; fructose transport system substrate-binding protein
ODS99610.1	K15726	"czcA, cusA, cnrA; heavy metal efflux system protein"
ODU09449.1	K03285	"TC.GBP; general bacterial porin, GBP family"
ODU09934.1	K03386	"PRDX2_4, ahpC; peroxiredoxin (alkyl hydroperoxide reductase subunit C) [EC:1.11.1.15]"
custom_1572378_16	K03386	"PRDX2_4, ahpC; peroxiredoxin (alkyl hydroperoxide reductase subunit C) [EC:1.11.1.15]"
ODU65602.1	K03040	rpoA; DNA-directed RNA polymerase subunit alpha [EC:2.7.7.6]
custom_1452416_2	K03704	cspA; cold shock protein
custom_425316_31	K15725	"czcC, cusC, cnrC; outer membrane protein, heavy metal efflux system"
custom_2295666_2	K03111	ssb; single-strand DNA-binding protein
OGA29463.1	K04771	"degP, htrA; serine protease Do [EC:3.4.21.107]"
OGA32108.1	K00297	"metF, MTHFR; methylenetetrahydrofolate reductase (NADPH) [EC:1.5.1.20]"
OGA54162.1	K07787	"cusA, silA; copper/silver efflux system protein"
OGA67311.1	K09969	"aapJ, bztA; general L-amino acid transport system substrate-binding protein"
OGA83591.1	K03043	rpoB; DNA-directed RNA polymerase subunit beta [EC:2.7.7.6]
OGA96568.1	K03285	"TC.GBP; general bacterial porin, GBP family"
OGO56955.1	K02112	"ATPF1B, atpD; F-type H+/Na+-transporting ATPase subunit beta [EC:7.1.2.2 7.2.2.1]"
custom_1484175_64	K02911	"RP-L32, MRPL32, rpmF; large subunit ribosomal protein L32"
OGP08582.1	K03695	clpB; ATP-dependent Clp protease ATP-binding subunit ClpB
OGQ58253.1	K02406	fliC; flagellin
custom_2418293_48	K01915	"glnA, GLUL; glutamine synthetase [EC:6.3.1.2]"
OGU32972.1	K01006	"ppdK; pyruvate, orthophosphate dikinase [EC:2.7.9.1]"
OGW34266.1	K01689	"ENO, eno; enolase [EC:4.2.1.11]"
custom_322002_2	K02871	"RP-L13, MRPL13, rplM; large subunit ribosomal protein L13"
OHC15899.1	K03406	mcp; methyl-accepting chemotaxis protein
custom_1713966_17	K03821	"phbC, phaC; polyhydroxyalkanoate synthase subunit PhaC [EC:2.3.1.-]"
OHC66317.1	K02838	"frr, MRRF, RRF; ribosome recycling factor"
OHC66528.1	K00832	tyrB; aromatic-amino-acid transaminase [EC:2.6.1.57]
OHC66784.1	K02355	"fusA, GFM, EFG; elongation factor G"
OHD65405.1	K01006	"ppdK; pyruvate, orthophosphate dikinase [EC:2.7.9.1]"
WP_070528534.1	K03768	"PPIB, ppiB; peptidyl-prolyl cis-trans isomerase B (cyclophilin B) [EC:5.2.1.8]"
custom_1585247_23	K02970	"RP-S21, MRPS21, rpsU; small subunit ribosomal protein S21"
OIO79346.1	K02956	"RP-S15, MRPS15, rpsO; small subunit ribosomal protein S15"
custom_96175_9	K03738	aor; aldehyde:ferredoxin oxidoreductase [EC:1.2.7.5]
OIP11015.1	K02600	nusA; transcription termination/antitermination protein NusA
OIP11024.1	K02670	pilU; twitching motility protein PilU
custom_1098626_19	K00333	nuoD; NADH-quinone oxidoreductase subunit D [EC:7.1.1.2]
APG95100.1	K04078	"groES, HSPE1; chaperonin GroES"
OJU34792.1	K04043	"dnaK, HSPA9; molecular chaperone DnaK"
custom_592381_2	K03744	lemA; LemA protein
custom_1204742_8	K03409	cheX; chemotaxis protein CheX
custom_46571_4	K02996	"RP-S9, MRPS9, rpsI; small subunit ribosomal protein S9"
OJW50927.1	K01738	cysK; cysteine synthase [EC:2.5.1.47]
OJW53493.1	K03596	lepA; GTP-binding protein LepA
custom_57687_59	K00413	"CYC1, CYT1, petC; ubiquinol-cytochrome c reductase cytochrome c1 subunit"
custom_1574188_2	K06020	ettA; energy-dependent translational throttle protein EttA
custom_1451586_2	K04088	hflK; modulator of FtsH protease HflK
custom_484505_202	K00184	dmsB; dimethyl sulfoxide reductase iron-sulfur subunit
OJY75616.1	K02406	fliC; flagellin
custom_1291997_1	K02358	"tuf, TUFM; elongation factor Tu"
WP_073354146.1	K14393	actP; cation/acetate symporter
custom_159291_2	K02902	"RP-L28, MRPL28, rpmB; large subunit ribosomal protein L28"
custom_1819274_2	K01939	"purA, ADSS; adenylosuccinate synthase [EC:6.3.4.4]"
SIR35105.1	K03841	"FBP, fbp; fructose-1,6-bisphosphatase I [EC:3.1.3.11]"
WP_076022651.1	K01652	"E2.2.1.6L, ilvB, ilvG, ilvI; acetolactate synthase I/II/III large subunit [EC:2.2.1.6]"
custom_1441411_1	K02110	"ATPF0C, atpE; F-type H+-transporting ATPase subunit c"
WP_076200618.1	K00335	nuoF; NADH-quinone oxidoreductase subunit F [EC:7.1.1.2]
