protein	IPR	GO	Pfam	Interproscan_annotation	
custom_2114489_2	-	-	PF13561	-	
custom_1383549_12	IPR010292	-	PF05981	Uncharacterised protein family CreA	
WP_115687782.1	IPR003156	GO:0003676	PF02272	DHHA1 domain	KEGG: 00970+6.1.1.7|Reactome: R-HSA-379716
WP_115687782.1	IPR012947	GO:0004812|GO:0005524|GO:0043039	PF07973	"Threonyl/alanyl tRNA synthetase, SAD"	
WP_115687782.1	IPR018164	GO:0000166|GO:0004813|GO:0005524|GO:0006419	PF01411	"Alanyl-tRNA synthetase, class IIc, N-terminal"	KEGG: 00970+6.1.1.7
WP_013215831.1	IPR002372	-	PF13360	Pyrrolo-quinoline quinone repeat	
WP_013215831.1	IPR002372	-	PF13360	Pyrrolo-quinoline quinone repeat	
custom_1071891_3	IPR001030	-	PF00330	"Aconitase/3-isopropylmalate dehydratase large subunit, alpha/beta/alpha domain"	KEGG: 00290+4.2.1.33
custom_923580_1	IPR035425	-	PF15511	"CENP-T/Histone H4, histone fold"	Reactome: R-HSA-606279
custom_814755_9	IPR002109	GO:0009055|GO:0015035|GO:0045454	PF00462	Glutaredoxin	
custom_1912475_79	IPR000581	GO:0003824	PF00920	Dihydroxy-acid/6-phosphogluconate dehydratase	KEGG: 00290+4.2.1.9|KEGG: 00770+4.2.1.9|MetaCyc: PWY-5101|MetaCyc: PWY-5103|MetaCyc: PWY-5104|MetaCyc: PWY-7111
custom_2335646_27	IPR008863	-	PF05816	Toxic anion resistance	
WP_121458431.1	IPR001107	-	PF01145	Band 7 domain	
RWB76554.1	IPR025997	-	PF13407	Periplasmic binding protein	
KRO89839.1	IPR015590	GO:0016491|GO:0055114	PF00171	Aldehyde dehydrogenase domain	
custom_2529634_31	IPR014956	-	PF08857	Putative ParB-like nuclease	
custom_314721_17	IPR002569	GO:0008113|GO:0055114	PF01625	Peptide methionine sulphoxide reductase MsrA	Reactome: R-HSA-5676934
custom_634769_41	IPR011766	GO:0003824|GO:0030976	PF02775	"Thiamine pyrophosphate enzyme, C-terminal TPP-binding"	
custom_634769_41	IPR012001	GO:0030976	PF02776	"Thiamine pyrophosphate enzyme, N-terminal TPP-binding domain"	
custom_634769_41	IPR012000	GO:0000287|GO:0030976	PF00205	"Thiamine pyrophosphate enzyme, central domain"	
WP_084269874.1	IPR002020	GO:0046912	PF00285	Citrate synthase	
WP_007913313.1	IPR003423	GO:0015562|GO:0055085	PF02321	Outer membrane efflux protein	
WP_007913313.1	IPR003423	GO:0015562|GO:0055085	PF02321	Outer membrane efflux protein	
KXK22029.1	IPR025997	-	PF13407	Periplasmic binding protein	
custom_999835_14	IPR002347	-	PF00106	Short-chain dehydrogenase/reductase SDR	
WP_027456623.1	IPR002423	GO:0005524	PF00118	Chaperonin Cpn60/TCP-1 family	
custom_576760_5	IPR002547	GO:0000049	PF01588	tRNA-binding domain	Reactome: R-HSA-379716
custom_576760_5	IPR015413	GO:0000166|GO:0004812|GO:0005524|GO:0006418	PF09334	Methionyl/Leucyl tRNA synthetase	
TCS85520.1	IPR000531	-	PF00593	"TonB-dependent receptor-like, beta-barrel"	
TCS85520.1	-	-	PF13715	-	
TCS85520.1	IPR012910	-	PF07715	"TonB-dependent receptor, plug domain"	
custom_1089304_1	IPR004161	GO:0005525	PF03144	"Translation elongation factor EFTu-like, domain 2"	
custom_1089304_1	IPR000795	GO:0003924|GO:0005525	PF00009	"Transcription factor, GTP-binding domain"	
custom_1089304_1	IPR004160	-	PF03143	"Translation elongation factor EFTu/EF1A, C-terminal"	
custom_828381_34	IPR000923	GO:0005507|GO:0009055	PF00127	Blue (type 1) copper domain	
custom_1019746_14	IPR009858	-	PF07209	Protein of unknown function DUF1415	
custom_1176115_29	IPR008162	GO:0000287|GO:0004427|GO:0005737|GO:0006796	PF00719	Inorganic pyrophosphatase	KEGG: 00190+3.6.1.1|MetaCyc: PWY-7805|MetaCyc: PWY-7807|Reactome: R-HSA-71737
RPI47421.1	IPR038210	-	PF14849	"Membrane insertase YidC, periplasmic domain"	
RPI47421.1	IPR001708	GO:0016021|GO:0032977	PF02096	Membrane  insertase YidC/ALB3/OXA1/COX18	
PZP62061.1	IPR003959	GO:0005524	PF07724	"ATPase, AAA-type, core"	
PZP62061.1	IPR003959	GO:0005524	PF00004	"ATPase, AAA-type, core"	
PZP62061.1	IPR004176	-	PF02861	"Clp, N-terminal"	
PZP62061.1	IPR004176	-	PF02861	"Clp, N-terminal"	
PZP62061.1	IPR041546	-	PF17871	"ClpA/ClpB, AAA lid domain"	
PZP62061.1	IPR019489	-	PF10431	"Clp ATPase, C-terminal"	
custom_1608118_5	IPR000182	GO:0008080	PF00583	GNAT domain	
custom_1608118_5	IPR001048	-	PF00696	Aspartate/glutamate/uridylate kinase	Reactome: R-HSA-8964539
WP_112487095.1	IPR024084	GO:0016616|GO:0055114	PF00180	Isopropylmalate dehydrogenase-like domain	Reactome: R-HSA-71403
custom_2474004_13	IPR000194	GO:0005524	PF00006	"ATPase, F1/V1/A1 complex, alpha/beta subunit, nucleotide-binding domain"	KEGG: 00190+7.1.2.2|KEGG: 00195+7.1.2.2|MetaCyc: PWY-7980
custom_2474004_13	IPR000793	GO:0015986	PF00306	"ATP synthase, alpha subunit, C-terminal"	KEGG: 00190+7.1.2.2|KEGG: 00195+7.1.2.2|MetaCyc: PWY-7980|Reactome: R-HSA-1268020|Reactome: R-HSA-163210|Reactome: R-HSA-8949613
custom_2474004_13	IPR004100	GO:0046034|GO:1902600	PF02874	"ATPase, F1/V1/A1 complex, alpha/beta subunit, N-terminal domain"	KEGG: 00190+7.1.2.2|KEGG: 00195+7.1.2.2|MetaCyc: PWY-7980
WP_131547714.1	IPR025870	-	PF13468	Glyoxalase-like domain	
PKO37646.1	IPR007156	-	PF04011	MamQ/LemA	
custom_1378133_34	IPR000194	GO:0005524	PF00006	"ATPase, F1/V1/A1 complex, alpha/beta subunit, nucleotide-binding domain"	KEGG: 00190+7.1.2.2|KEGG: 00195+7.1.2.2|MetaCyc: PWY-7980
custom_1378133_34	IPR004100	GO:0046034|GO:1902600	PF02874	"ATPase, F1/V1/A1 complex, alpha/beta subunit, N-terminal domain"	KEGG: 00190+7.1.2.2|KEGG: 00195+7.1.2.2|MetaCyc: PWY-7980
custom_1378133_34	IPR000793	GO:0015986	PF00306	"ATP synthase, alpha subunit, C-terminal"	KEGG: 00190+7.1.2.2|KEGG: 00195+7.1.2.2|MetaCyc: PWY-7980|Reactome: R-HSA-1268020|Reactome: R-HSA-163210|Reactome: R-HSA-8949613
custom_368218_40	IPR035078	GO:0004611|GO:0006094	PF17297	"Phosphoenolpyruvate carboxykinase, GTP-utilising, N-terminal"	KEGG: 00010+4.1.1.32|KEGG: 00020+4.1.1.32|KEGG: 00620+4.1.1.32|MetaCyc: PWY-7383|Reactome: R-HSA-70263
custom_368218_40	IPR035077	GO:0004611|GO:0006094	PF00821	"Phosphoenolpyruvate carboxykinase, C-terminal P-loop domain"	KEGG: 00010+4.1.1.32|KEGG: 00020+4.1.1.32|KEGG: 00620+4.1.1.32|MetaCyc: PWY-7383|Reactome: R-HSA-70263
WP_066860408.1	IPR004105	GO:0000155|GO:0000160|GO:0004673|GO:0005737|GO:0006935	PF02895	"Histidine kinase  CheA-like, homodimeric domain"	
WP_066860408.1	IPR002545	GO:0006935|GO:0007165	PF01584	CheW-like domain	
WP_066860408.1	IPR003594	-	PF02518	Histidine kinase/HSP90-like ATPase	
WP_066860408.1	IPR008207	GO:0000160	PF01627	"Signal transduction histidine kinase, phosphotransfer (Hpt) domain"	
custom_2600537_10	-	-	PF02239	-	
RTL41374.1	IPR011116	GO:0016020|GO:0017038	PF07516	SecA Wing/Scaffold	
RTL41374.1	IPR004027	-	PF02810	SEC-C motif	
custom_1609642_3	IPR009081	-	PF00550	Phosphopantetheine binding ACP domain	
WP_020166885.1	IPR000722	GO:0003677|GO:0003899|GO:0006351	PF00623	"RNA polymerase, alpha subunit"	
WP_020166885.1	IPR000722	GO:0003677|GO:0003899|GO:0006351	PF00623	"RNA polymerase, alpha subunit"	
WP_020166885.1	IPR007066	GO:0003677|GO:0003899|GO:0006351	PF04983	"RNA polymerase Rpb1, domain 3"	
WP_020166885.1	IPR007083	GO:0003677|GO:0003899|GO:0006351	PF05000	"RNA polymerase Rpb1, domain 4"	
WP_020166885.1	IPR007081	GO:0003677|GO:0003899|GO:0006351	PF04998	"RNA polymerase Rpb1, domain 5"	
WP_020166885.1	IPR007080	GO:0003677|GO:0003899|GO:0006351	PF04997	"RNA polymerase Rpb1, domain 1"	
custom_546476_19	IPR000531	-	PF00593	"TonB-dependent receptor-like, beta-barrel"	
custom_546476_19	IPR012910	-	PF07715	"TonB-dependent receptor, plug domain"	
custom_1527873_28	IPR005828	GO:0016021|GO:0022857|GO:0055085	PF00083	"Major facilitator,  sugar transporter-like"	
custom_1527873_28	IPR005828	GO:0016021|GO:0022857|GO:0055085	PF00083	"Major facilitator,  sugar transporter-like"	
WP_119966683.1	IPR001030	-	PF00330	"Aconitase/3-isopropylmalate dehydratase large subunit, alpha/beta/alpha domain"	KEGG: 00290+4.2.1.33
WP_119966683.1	IPR015933	GO:0003994|GO:0006099	PF11791	"Aconitase B, HEAT-like domain"	KEGG: 00020+4.2.1.3|KEGG: 00630+4.2.1.3|KEGG: 00640+4.2.1.99|KEGG: 00720+4.2.1.3|MetaCyc: PWY-5747
WP_119966683.1	IPR015929	GO:0003994|GO:0006099	PF06434	"Aconitase B, swivel"	KEGG: 00020+4.2.1.3|KEGG: 00630+4.2.1.3|KEGG: 00640+4.2.1.99|KEGG: 00720+4.2.1.3|MetaCyc: PWY-5747
RYH10760.1	IPR001638	-	PF00497	Solute-binding protein  family 3/N-terminal domain of MltF	
custom_2109006_5	IPR023798	-	PF00177	Ribosomal protein S7 domain	
WP_062135391.1	IPR014730	-	PF01012	"Electron transfer flavoprotein, alpha/beta-subunit, N-terminal"	Reactome: R-HSA-611105
custom_1884229_2	IPR013650	-	PF08442	"ATP-grasp fold, succinyl-CoA synthetase-type"	KEGG: 00020+6.2.1.5|KEGG: 00640+6.2.1.5|KEGG: 00660+6.2.1.5|KEGG: 00720+6.2.1.5|MetaCyc: PWY-5392|MetaCyc: PWY-5537|MetaCyc: PWY-5538|MetaCyc: PWY-5690|MetaCyc: PWY-5913|MetaCyc: PWY-6728|MetaCyc: PWY-6969|MetaCyc: PWY-7384|Reactome: R-HSA-71403
custom_1884229_2	IPR005811	GO:0003824	PF00549	ATP-citrate lyase/succinyl-CoA ligase	KEGG: 00020+6.2.1.5|KEGG: 00640+6.2.1.5|KEGG: 00660+6.2.1.5|KEGG: 00720+6.2.1.5|MetaCyc: PWY-5392|MetaCyc: PWY-5537|MetaCyc: PWY-5538|MetaCyc: PWY-5690|MetaCyc: PWY-5913|MetaCyc: PWY-6728|MetaCyc: PWY-6969|MetaCyc: PWY-7384
custom_2385382_2	IPR028081	-	PF13458	Leucine-binding protein domain	
WP_064024188.1	IPR015929	GO:0003994|GO:0006099	PF06434	"Aconitase B, swivel"	KEGG: 00020+4.2.1.3|KEGG: 00630+4.2.1.3|KEGG: 00640+4.2.1.99|KEGG: 00720+4.2.1.3|MetaCyc: PWY-5747
WP_064024188.1	IPR015933	GO:0003994|GO:0006099	PF11791	"Aconitase B, HEAT-like domain"	KEGG: 00020+4.2.1.3|KEGG: 00630+4.2.1.3|KEGG: 00640+4.2.1.99|KEGG: 00720+4.2.1.3|MetaCyc: PWY-5747
WP_064024188.1	IPR001030	-	PF00330	"Aconitase/3-isopropylmalate dehydratase large subunit, alpha/beta/alpha domain"	KEGG: 00290+4.2.1.33
custom_310603_2	IPR028081	-	PF13458	Leucine-binding protein domain	
custom_425316_24	IPR033900	GO:0015288|GO:0016020	PF13609	"Porin domain, Gram-negative type"	
WP_053419897.1	IPR009056	GO:0009055|GO:0020037	PF00034	Cytochrome c-like domain	Reactome: R-HSA-111457|Reactome: R-HSA-111458|Reactome: R-HSA-111459|Reactome: R-HSA-111463|Reactome: R-HSA-111464|Reactome: R-HSA-2151201|Reactome: R-HSA-3299685|Reactome: R-HSA-5628897|Reactome: R-HSA-611105|Reactome: R-HSA-9627069
WP_053419897.1	IPR009056	GO:0009055|GO:0020037	PF00034	Cytochrome c-like domain	Reactome: R-HSA-111457|Reactome: R-HSA-111458|Reactome: R-HSA-111459|Reactome: R-HSA-111463|Reactome: R-HSA-111464|Reactome: R-HSA-2151201|Reactome: R-HSA-3299685|Reactome: R-HSA-5628897|Reactome: R-HSA-611105|Reactome: R-HSA-9627069
WP_117010228.1	IPR013656	-	PF08448	PAS fold-4	
WP_117010228.1	IPR013656	-	PF08448	PAS fold-4	
WP_117010228.1	IPR013656	-	PF08448	PAS fold-4	
WP_117010228.1	IPR003661	GO:0000155|GO:0007165	PF00512	"Signal transduction histidine kinase, dimerisation/phosphoacceptor domain"	
WP_117010228.1	IPR008207	GO:0000160	PF01627	"Signal transduction histidine kinase, phosphotransfer (Hpt) domain"	
WP_117010228.1	IPR001789	GO:0000160	PF00072	"Signal transduction response regulator, receiver domain"	
WP_117010228.1	IPR001789	GO:0000160	PF00072	"Signal transduction response regulator, receiver domain"	
WP_117010228.1	IPR003594	-	PF02518	Histidine kinase/HSP90-like ATPase	
WP_132572002.1	IPR010269	-	PF05943	"Type VI secretion protein, EvpB/VC_A0108, tail sheath"	
WP_069037425.1	IPR032387	-	PF16177	"Acetyl-coenzyme A synthetase, N-terminal domain"	KEGG: 00010+6.2.1.1|KEGG: 00620+6.2.1.1|KEGG: 00630+6.2.1.1|KEGG: 00640+6.2.1.1|KEGG: 00680+6.2.1.1|KEGG: 00720+6.2.1.1|MetaCyc: PWY-5108|MetaCyc: PWY-5132|MetaCyc: PWY-5133|MetaCyc: PWY-6672|MetaCyc: PWY-7118|MetaCyc: PWY-7857
WP_069037425.1	IPR000873	GO:0003824	PF00501	AMP-dependent synthetase/ligase	
WP_069037425.1	IPR025110	-	PF13193	"AMP-binding enzyme, C-terminal domain"	
custom_908364_39	-	-	PF13561	-	
THD47362.1	IPR001789	GO:0000160	PF00072	"Signal transduction response regulator, receiver domain"	
THD47362.1	IPR003594	-	PF02518	Histidine kinase/HSP90-like ATPase	
THD47362.1	IPR003661	GO:0000155|GO:0007165	PF00512	"Signal transduction histidine kinase, dimerisation/phosphoacceptor domain"	
THD47362.1	IPR000014	-	PF13426	PAS domain	
custom_2589064_93	IPR013185	-	PF08207	"Translation elongation factor, KOW-like"	
custom_2589064_93	IPR015365	GO:0005737|GO:0043043	PF09285	"Elongation factor P, C-terminal"	
custom_2589064_93	IPR001059	GO:0003746|GO:0006414	PF01132	"Translation elongation factor P/YeiP, central"	
custom_2596476_68	IPR000754	GO:0003735|GO:0005840|GO:0006412	PF00380	Ribosomal protein S9	
OGW51195.1	IPR028081	-	PF13458	Leucine-binding protein domain	
custom_1217365_2	IPR010679	-	PF06863	Domain of unknown function DUF1254	
custom_1217365_2	IPR010621	-	PF06742	Domain of unknown function DUF1214	
custom_1233797_20	IPR001653	GO:0008837|GO:0009089	PF01678	"Diaminopimelate epimerase, DapF"	KEGG: 00300+5.1.1.7|MetaCyc: PWY-2941|MetaCyc: PWY-5097
custom_1233797_20	IPR001653	GO:0008837|GO:0009089	PF01678	"Diaminopimelate epimerase, DapF"	KEGG: 00300+5.1.1.7|MetaCyc: PWY-2941|MetaCyc: PWY-5097
WP_112495656.1	IPR000089	-	PF00364	Biotin/lipoyl attachment	
WP_112495656.1	IPR041265	-	PF18140	"Propionyl-coenzyme A carboxylase, BT domain"	Reactome: R-HSA-196780|Reactome: R-HSA-3371599|Reactome: R-HSA-71032
WP_112495656.1	IPR005481	-	PF00289	"Biotin carboxylase-like, N-terminal domain"	Reactome: R-HSA-196780|Reactome: R-HSA-3371599
WP_112495656.1	IPR005479	GO:0005524	PF02786	"Carbamoyl-phosphate synthetase large subunit-like, ATP-binding domain"	
WP_112495656.1	IPR005482	-	PF02785	"Biotin carboxylase, C-terminal"	Reactome: R-HSA-196780|Reactome: R-HSA-3371599
TIV34489.1	IPR022761	-	PF00206	"Fumarate lyase, N-terminal"	
TIV34489.1	IPR018951	GO:0006099|GO:0016829	PF10415	"Fumarase C, C-terminal"	KEGG: 00020+4.2.1.2|KEGG: 00620+4.2.1.2|KEGG: 00720+4.2.1.2|MetaCyc: PWY-5392|MetaCyc: PWY-561|MetaCyc: PWY-5690|MetaCyc: PWY-5913|MetaCyc: PWY-6728|MetaCyc: PWY-6969|MetaCyc: PWY-7254|MetaCyc: PWY-7384|Reactome: R-HSA-71403
WP_079434806.1	IPR008207	GO:0000160	PF01627	"Signal transduction histidine kinase, phosphotransfer (Hpt) domain"	
WP_079434806.1	IPR003594	-	PF02518	Histidine kinase/HSP90-like ATPase	
WP_079434806.1	IPR002545	GO:0006935|GO:0007165	PF01584	CheW-like domain	
WP_079434806.1	IPR004105	GO:0000155|GO:0000160|GO:0004673|GO:0005737|GO:0006935	PF02895	"Histidine kinase  CheA-like, homodimeric domain"	
PKL76191.1	IPR034907	-	PF00334	Nucleoside diphosphate kinase-like domain	KEGG: 00230+2.7.4.6|KEGG: 00240+2.7.4.6|KEGG: 00983+2.7.4.6|MetaCyc: PWY-6545|MetaCyc: PWY-7176|MetaCyc: PWY-7184|MetaCyc: PWY-7187|MetaCyc: PWY-7197|MetaCyc: PWY-7198|MetaCyc: PWY-7205|MetaCyc: PWY-7210|MetaCyc: PWY-7220|MetaCyc: PWY-7221|MetaCyc: PWY-7222|MetaCyc: PWY-7224|MetaCyc: PWY-7226|MetaCyc: PWY-7227
WP_018988831.1	IPR005844	GO:0005975|GO:0016868	PF02878	"Alpha-D-phosphohexomutase, alpha/beta/alpha domain I"	KEGG: 00520+5.4.2.10|MetaCyc: PWY-6749
WP_018988831.1	IPR005843	GO:0016868|GO:0071704	PF00408	"Alpha-D-phosphohexomutase, C-terminal"	KEGG: 00520+5.4.2.10|MetaCyc: PWY-6749
WP_018988831.1	IPR005845	GO:0005975	PF02879	"Alpha-D-phosphohexomutase, alpha/beta/alpha domain II"	KEGG: 00520+5.4.2.10|MetaCyc: PWY-6749
WP_018988831.1	IPR005846	GO:0005975|GO:0016868	PF02880	"Alpha-D-phosphohexomutase, alpha/beta/alpha domain III"	KEGG: 00520+5.4.2.10|MetaCyc: PWY-6749
custom_57687_59	IPR002326	GO:0009055|GO:0020037	PF02167	Cytochrome c1	Reactome: R-HSA-1268020|Reactome: R-HSA-611105
KFB72864.1	IPR009056	GO:0009055|GO:0020037	PF00034	Cytochrome c-like domain	Reactome: R-HSA-111457|Reactome: R-HSA-111458|Reactome: R-HSA-111459|Reactome: R-HSA-111463|Reactome: R-HSA-111464|Reactome: R-HSA-2151201|Reactome: R-HSA-3299685|Reactome: R-HSA-5628897|Reactome: R-HSA-611105|Reactome: R-HSA-9627069
KFB72864.1	IPR004852	GO:0016491|GO:0055114	PF03150	Di-haem cytochrome c peroxidase	
custom_2104144_6	IPR003849	-	PF02699	Preprotein translocase YajC	
custom_1287502_1	IPR000119	GO:0003677	PF00216	Histone-like DNA-binding protein	
WP_018403296.1	IPR004100	GO:0046034|GO:1902600	PF02874	"ATPase, F1/V1/A1 complex, alpha/beta subunit, N-terminal domain"	KEGG: 00190+7.1.2.2|KEGG: 00195+7.1.2.2|MetaCyc: PWY-7980
WP_018403296.1	IPR000194	GO:0005524	PF00006	"ATPase, F1/V1/A1 complex, alpha/beta subunit, nucleotide-binding domain"	KEGG: 00190+7.1.2.2|KEGG: 00195+7.1.2.2|MetaCyc: PWY-7980
custom_1943095_1	IPR000218	GO:0003735|GO:0005840|GO:0006412	PF00238	Ribosomal protein L14P	
WP_096787731.1	IPR025711	-	PF13670	PepSY domain	
OLC80180.1	IPR002423	GO:0005524	PF00118	Chaperonin Cpn60/TCP-1 family	
RLS32787.1	IPR000504	GO:0003676	PF00076	RNA recognition motif domain	
custom_1476629_9	IPR033900	GO:0015288|GO:0016020	PF13609	"Porin domain, Gram-negative type"	
custom_909983_25	IPR001892	GO:0003723|GO:0003735|GO:0005840|GO:0006412	PF00416	Ribosomal protein S13	Reactome: R-HSA-156827|Reactome: R-HSA-156902|Reactome: R-HSA-1799339|Reactome: R-HSA-192823|Reactome: R-HSA-2408557|Reactome: R-HSA-6791226|Reactome: R-HSA-72649|Reactome: R-HSA-72689|Reactome: R-HSA-72695|Reactome: R-HSA-72702|Reactome: R-HSA-72706|Reactome: R-HSA-72764|Reactome: R-HSA-9010553|Reactome: R-HSA-975956|Reactome: R-HSA-975957
custom_544628_4	IPR008331	GO:0006879|GO:0008199	PF00210	Ferritin/DPS protein domain	
WP_011287681.1	-	-	PF13616	-	
WP_011287681.1	-	-	PF13624	-	
custom_998907_4	IPR002136	GO:0003735|GO:0005840|GO:0006412	PF00573	Ribosomal protein L4/L1e	
custom_57687_61	IPR017941	GO:0016491|GO:0051537|GO:0055114	PF00355	Rieske [2Fe-2S] iron-sulphur domain	
custom_2073911_13	IPR011126	GO:0000155|GO:0000160|GO:0004672|GO:0005524|GO:0006109	PF02603	"HPr(Ser) kinase/phosphorylase, N-terminal"	
custom_2073911_13	IPR011104	GO:0000155|GO:0000160|GO:0004672|GO:0005524|GO:0006109	PF07475	"HPr kinase/phosphorylase, C-terminal"	
WP_018607717.1	IPR002187	GO:0006808|GO:0030234	PF00543	Nitrogen regulatory protein PII	
custom_1172684_27	IPR018389	GO:0055085	PF03480	TRAP transporter solute receptor DctP/TeaA	
WP_136385959.1	IPR022153	-	PF12447	Protein of unknown function DUF3683	
WP_136385959.1	IPR006094	GO:0016491|GO:0050660|GO:0055114	PF01565	"FAD linked oxidase, N-terminal"	
WP_136385959.1	IPR004017	-	PF02754	Cysteine-rich domain	
WP_136385959.1	IPR004017	-	PF02754	Cysteine-rich domain	
WP_136385959.1	IPR004113	GO:0003824|GO:0050660	PF02913	"FAD-linked oxidase, C-terminal"	
WP_136385959.1	IPR004113	GO:0003824|GO:0050660	PF02913	"FAD-linked oxidase, C-terminal"	
WP_136385959.1	IPR021817	-	PF11880	Protein of unknown function DUF3400	
WP_136385959.1	IPR017896	-	PF13183	"4Fe-4S ferredoxin-type, iron-sulphur binding domain"	
custom_1016261_4	-	-	PF02239	-	
custom_384426_7	IPR006059	-	PF13416	Bacterial extracellular solute-binding protein	
custom_1589051_2	IPR003801	GO:0003933	PF02649	GTP cyclohydrolase FolE2/MptA	KEGG: 00790+3.5.4.16|MetaCyc: PWY-5663|MetaCyc: PWY-5664|MetaCyc: PWY-6147|MetaCyc: PWY-6703|MetaCyc: PWY-6983|MetaCyc: PWY-7442|MetaCyc: PWY-7852
WP_004258686.1	IPR010941	GO:0042619	PF07167	"Poly-beta-hydroxybutyrate polymerase, N-terminal domain"	
custom_401140_5	IPR001506	GO:0004222|GO:0006508	PF01400	Peptidase M12A	
custom_118385_23	IPR008146	GO:0004356|GO:0006807	PF00120	"Glutamine synthetase, catalytic domain"	KEGG: 00220+6.3.1.2|KEGG: 00250+6.3.1.2|KEGG: 00630+6.3.1.2|KEGG: 00910+6.3.1.2|MetaCyc: PWY-381|MetaCyc: PWY-5675|MetaCyc: PWY-6549|MetaCyc: PWY-6963|MetaCyc: PWY-6964
custom_118385_23	IPR008147	GO:0004356|GO:0006542|GO:0006807	PF03951	"Glutamine synthetase, beta-Grasp domain"	KEGG: 00220+6.3.1.2|KEGG: 00250+6.3.1.2|KEGG: 00630+6.3.1.2|KEGG: 00910+6.3.1.2|MetaCyc: PWY-381|MetaCyc: PWY-5675|MetaCyc: PWY-6549|MetaCyc: PWY-6963|MetaCyc: PWY-6964|Reactome: R-HSA-210455|Reactome: R-HSA-8964539
custom_1972491_9	IPR028081	-	PF13458	Leucine-binding protein domain	
custom_269935_3	IPR002347	-	PF00106	Short-chain dehydrogenase/reductase SDR	
RZI55826.1	IPR000597	GO:0003735|GO:0005840|GO:0006412	PF00297	Ribosomal protein L3	
WP_095525690.1	IPR014027	GO:0016616|GO:0051287|GO:0055114	PF03720	"UDP-glucose/GDP-mannose dehydrogenase, C-terminal"	Reactome: R-HSA-173599
WP_095525690.1	IPR001732	GO:0016616|GO:0051287|GO:0055114	PF03721	"UDP-glucose/GDP-mannose dehydrogenase, N-terminal"	Reactome: R-HSA-173599
WP_095525690.1	IPR014026	GO:0016616|GO:0051287|GO:0055114	PF00984	"UDP-glucose/GDP-mannose dehydrogenase, dimerisation"	Reactome: R-HSA-173599
custom_1898692_4	IPR002187	GO:0006808|GO:0030234	PF00543	Nitrogen regulatory protein PII	
WP_035028480.1	IPR006158	GO:0031419|GO:0046872	PF02310	Cobalamin (vitamin B12)-binding domain	Reactome: R-HSA-196741
WP_035028480.1	IPR006099	GO:0016866|GO:0031419	PF01642	"Methylmalonyl-CoA mutase, alpha/beta chain, catalytic"	Reactome: R-HSA-196741|Reactome: R-HSA-3359475|Reactome: R-HSA-3359478|Reactome: R-HSA-71032
custom_1409001_8	IPR006254	GO:0004451|GO:0019752	PF00463	Isocitrate lyase	KEGG: 00630+4.1.3.1|MetaCyc: PWY-6969
custom_1409001_8	IPR006254	GO:0004451|GO:0019752	PF00463	Isocitrate lyase	KEGG: 00630+4.1.3.1|MetaCyc: PWY-6969
PHS30301.1	IPR010810	-	PF07196	"Flagellin hook, IN motif"	
PHS30301.1	IPR001029	GO:0005198|GO:0071973	PF00700	"Flagellin, D0/D1 domain"	
PHS30301.1	IPR001029	GO:0005198|GO:0071973	PF00669	"Flagellin, D0/D1 domain"	
custom_1206307_4	IPR022666	GO:0003735|GO:0005840|GO:0006412	PF00181	"Ribosomal Proteins L2, RNA binding domain"	
custom_1206307_4	IPR022669	GO:0003735|GO:0005840|GO:0006412	PF03947	"Ribosomal protein L2, C-terminal"	
WP_026779442.1	IPR017896	-	PF00037	"4Fe-4S ferredoxin-type, iron-sulphur binding domain"	
WP_026779442.1	IPR023753	GO:0016491|GO:0055114	PF07992	FAD/NAD(P)-binding domain	
WP_026779442.1	IPR028261	-	PF14691	Dihydroprymidine dehydrogenase domain II	Reactome: R-HSA-73621
WP_072366661.1	-	-	PF13715	-	
WP_072366661.1	IPR000531	-	PF00593	"TonB-dependent receptor-like, beta-barrel"	
WP_072366661.1	IPR012910	-	PF07715	"TonB-dependent receptor, plug domain"	
custom_2151383_5	IPR004436	GO:0004450|GO:0006099|GO:0055114	PF03971	"Isocitrate dehydrogenase NADP-dependent, monomeric"	KEGG: 00020+1.1.1.42|KEGG: 00480+1.1.1.42|KEGG: 00720+1.1.1.42|MetaCyc: PWY-5913|MetaCyc: PWY-6549|MetaCyc: PWY-6728|MetaCyc: PWY-6969|MetaCyc: PWY-7124|MetaCyc: PWY-7254|MetaCyc: PWY-7268
WP_012078702.1	IPR006218	GO:0009058	PF00793	DAHP synthetase I/KDSA	KEGG: 00540+2.5.1.55|MetaCyc: PWY-1269|MetaCyc: PWY-7674
RWM11725.1	IPR003439	GO:0005524|GO:0016887	PF00005	ABC transporter-like	
WP_033753737.1	IPR012302	GO:0051287	PF03949	"Malic enzyme, NAD-binding"	
WP_033753737.1	IPR012301	GO:0004471|GO:0055114	PF00390	"Malic enzyme, N-terminal domain"	
WP_033753737.1	IPR002505	GO:0016746	PF01515	Phosphate acetyl/butaryl transferase	KEGG: 00430+2.3.1.8|KEGG: 00620+2.3.1.8|KEGG: 00640+2.3.1.8|KEGG: 00680+2.3.1.8|KEGG: 00720+2.3.1.8|MetaCyc: PWY-1281|MetaCyc: PWY-5482|MetaCyc: PWY-5485|MetaCyc: PWY-5497|MetaCyc: PWY-6637
custom_383472_3	IPR006254	GO:0004451|GO:0019752	PF00463	Isocitrate lyase	KEGG: 00630+4.1.3.1|MetaCyc: PWY-6969
