protein	eggNOG	eggNOG_name	eggNOG_annotation
custom_1435653_153	"1MZDT,1S62N,1X6WF,COG0199,COG0199"	rpsN	"Binds 16S rRNA, required for the assembly of 30S particles and may also be responsible for determining the conformation of the 16S rRNA at the A site"
custom_908364_3	"1MUJP,1RNZE,1X4P4,COG0544,COG0544"	tig	Involved in protein export. Acts as a chaperone by maintaining the newly synthesized protein in an open conformation. Functions as a peptidyl-prolyl cis-trans isomerase
SER30959.1	"2GKB701174,COG0396,COG0396"	sufC	FeS assembly ATPase SufC
SEJ75271.1	"1K0WZ060,1MU1X,2VI6I,COG0304,COG0304"	fabF	Catalyzes the condensation reaction of fatty acid synthesis by the addition to an acyl acceptor of two carbons from malonyl-ACP
SFH37731.1	"1MZTV,2VSP6,3736X003,COG2885,COG2885"	pal	Belongs to the ompA family
custom_1879550_2	"1MVC0,2VH5D,4AC3H0864,COG0050,COG0050"	tuf	This protein promotes the GTP-dependent binding of aminoacyl-tRNA to the A-site of ribosomes during protein biosynthesis
OIP33749.1	"1N07Y,2WJUV,42MPB,COG1350,COG1350"	trpB	The beta subunit is responsible for the synthesis of L- tryptophan from indole and L-serine
custom_382418_29	"1RCXW,2U5JU,43J12,COG0782,COG0782"	greA	"Necessary for efficient RNA polymerase transcription elongation past template-encoded arresting sites. The arresting sites in DNA have the property of trapping a certain fraction of elongating RNA polymerases that pass through, resulting in locked ternary complexes. Cleavage of the nascent transcript by cleavage factors such as GreA or GreB allows the resumption of elongation from the new 3'terminus. GreA releases sequences of 2 to 3 nucleotides"
custom_1136114_26	"1MZBB,2UCCR,43KHX,COG3118,COG3118"	trxA	Belongs to the thioredoxin family
OJV56017.1	"1ISRG,28IG3,2Z8HM,4NFJR"	gldL	TIGRFAM gliding motility-associated protein GldL
OJW50013.1	"1N66T,2KV5P06389,2VIUA,COG0233,COG0233"	frr	Responsible for the release of ribosomes from messenger RNA at the termination of protein biosynthesis. May increase the efficiency of translation by recycling ribosomes from one round of translation to another
OJW60899.1	"1IWWQ,2DB7W,2Z7P1,4NJT9"	-	Domain of unknown function (DUF4331)
OJX06002.1	"1MUWW,2KV4J06389,2VJQQ,COG0005,COG0005"	mtaP	Purine nucleoside phosphorylase which is highly specific for 6-oxopurine nucleosides. Cleaves guanosine or inosine to respective bases and sugar-1-phosphate molecules. Involved in purine salvage
custom_381122_13	"1MV93,2VITK,4AAYQ0864,COG0506,COG0506,COG4230,COG4230"	putA	Oxidizes proline to glutamate for use as a carbon and nitrogen source
custom_506125_3	"1MVBQ,2VIEJ,4A9NS0864,COG0060,COG0060"	ileS	"amino acids such as valine, to avoid such errors it has two additional distinct tRNA(Ile)-dependent editing activities. One activity is designated as 'pretransfer' editing and involves the hydrolysis of activated Val-AMP. The other activity is designated 'posttransfer' editing and involves deacylation of mischarged Val-tRNA(Ile)"""
custom_431155_55	"1MU27,2VI6Q,4ABDA0864,COG2223,COG2223"	narK1	PFAM Major facilitator superfamily
custom_1198340_25	"1NJ2P,2C6PM,2VXXJ,33AW6,4AG250864"	-	-
custom_1219591_106	"1IJ5T,4PKAS,COG1629,COG1629"	-	TonB-dependent receptor plug
custom_484505_203	"1HXD9,2NTD8,4NF0A,COG2010,COG2010"	psbV	Cytochrome c7 and related cytochrome c
custom_294643_14	"1QKNZ,2F89P,2VCFD,340NW,3N8SX01"	-	-
custom_484505_27	"1HX8Y,28H74,2NT0V,2Z7JF,4NFR0"	gldN	gliding motility
custom_1663167_58	"1I60Y,2EBZU,335Z4,4NXAZ"	-	-
custom_1168685_289	"1I15Z,4NH4I,COG2866,COG2866,COG3291,COG3291"	-	Zn_pept
SBO99423.1	"2GN8501174,4EH12012,COG0175,COG0175"	cysD	Phosphoadenosine phosphosulfate reductase family
custom_1496672_100	"1MV46,2VHAZ,371RU003,COG0740,COG0740"	clpP	Cleaves peptides in various proteins in a process that requires ATP hydrolysis. Has a chymotrypsin-like activity. Plays a major role in the degradation of misfolded proteins
WP_072339242.1	"1MX83,1RMRP,COG2199,COG3706"	-	Diguanylate cyclase
custom_1993934_2	"1MZ2X,2U9AQ,3N72T01,COG0234,COG0234"	groS	Binds to Cpn60 in the presence of Mg-ATP and suppresses the ATPase activity of the latter
WP_072429498.1	"1MUVX,2KQKS06351,2VJ8A,COG0765,COG0765"	gltJ	Binding-protein-dependent transport system inner membrane component
custom_116685_16	"47PSQ03,4NQAQ,COG0222,COG0222"	rplL	Forms part of the ribosomal stalk which helps the ribosome interact with GTP-bound translation factors. Is thus essential for accurate translation
custom_2671537_263	"47MHE03,4NFEQ,COG0439,COG0439"	accC	"TIGRFAM acetyl-CoA carboxylase, biotin carboxylase"
WP_073141436.1	"47K6G03,4NDU8,COG1629,COG4206,COG4206,COG4771"	-	PFAM TonB-dependent Receptor Plug
WP_073632613.1	"1J2WC,1RD1A,2U9A0,COG1764,COG1764"	ohr	OsmC-like protein
custom_2560720_12	"1K2FV060,1P59R,2VK5E,COG1182,COG1182"	azoR	"Catalyzes the reductive cleavage of azo bond in aromatic azo compounds to the corresponding amines. Requires NADH, but not NADPH, as an electron donor for its activity"
custom_203169_6	"1RDPE,2WAZQ,30TCX,371U8003,arCOG08699"	-	"Ammonia monooxygenase/methane monooxygenase, subunit C"
OLB01990.1	"3Y69X,COG0433,COG0433"	yjgR	Bacterial protein of unknown function (DUF853)
OLC66774.1	"2GBKK00795,COG2206,COG2206"	-	"metal-dependent phosphohydrolase, HD sub domain"
OLE54048.1	"COG2606,COG2606"	ybaK	Cys-tRNA(Pro) hydrolase activity
WP_075064789.1	"1JCPV,1MVCE,1RMSU,COG0045,COG0045"	sucC	"Succinyl-CoA synthetase functions in the citric acid cycle (TCA), coupling the hydrolysis of succinyl-CoA to the synthesis of either ATP or GTP and thus represents the only step of substrate-level phosphorylation in the TCA. The beta subunit provides nucleotide specificity of the enzyme and binds the substrate succinate, while the binding sites for coenzyme A and phosphate are found in the alpha subunit"
WP_075147551.1	"1MX42,1RQ2K,1X0X7,COG1629,COG4771"	bhuA	TonB dependent receptor
custom_935884_7	"1N0H3,2KW7W06389,2VQEB,COG0517,COG0517"	hrp1	CBS domain
OLL99361.1	"2GJAY01174,4DXDR010,COG0148,COG0148"	eno	Catalyzes the reversible conversion of 2- phosphoglycerate into phosphoenolpyruvate. It is essential for the degradation of carbohydrates via glycolysis
OLY44580.1	"1MU0A,2TQJT,48TJU,COG0280,COG0280,COG0281,COG0281"	maeB	"Malic enzyme, NAD binding domain"
SIQ28204.1	"1MU68,2KV2G06389,2VKMW,COG3243,COG3243"	-	Poly-beta-hydroxybutyrate
WP_076096515.1	"1QD5Q,2KVXA06389,2VH1W,COG3391,COG3391"	nirF	cytochrome d1 heme
WP_076097346.1	"1RAFI,2KWSD06389,2VKQS,COG0431,COG0431"	yieF	Flavodoxin-like fold
WP_076587825.1	"1MVEN,1RMDD,1X3SG,COG0443,COG0443"	dnaK	Heat shock 70 kDa protein
WP_077296138.1	"1MVU6,2JPVD04441,2TS0R,COG0644,COG0644,COG2440,COG2440"	etf	Electron transfer flavoprotein-ubiquinone oxidoreductase
WP_077299159.1	"1N48U,2KRAK06351,2VUHQ,COG2944,COG2944"	-	"transcriptional regulator, XRE family"
WP_077562039.1	"1RFBH,2VKB3,4A9XS0864,COG1596,COG1596"	wza	Polysaccharide biosynthesis/export protein
OPL16575.1	"1MU6U,2MQ8Y,2WJA2,42M1X,COG0028,COG0028"	ilvI	"Thiamine pyrophosphate enzyme, central"
custom_1287709_1	"1MZIK,2KX1P06389,2VU2G,COG0186,COG0186"	rpsQ	"One of the primary rRNA binding proteins, it binds specifically to the 5'-end of 16S ribosomal RNA"
custom_237562_2	"1MZQD,2KRCP06351,2VUC6,COG0198,COG0198"	rplX	One of the proteins that surrounds the polypeptide exit tunnel on the outside of the subunit
custom_1889132_6	"1N81M,2KVCH06389,2VI4E,COG0784,COG0784,COG0835,COG0835"	cheV	Chemotaxis signal transduction protein
custom_562964_3	"1QVCJ,2KXPU06389,2VIF0,COG1858,COG1858"	-	cytochrome C peroxidase
custom_267920_4	"1KQ2C066,1NKFA,2VR85,COG2854,COG2854"	mlaC	MlaC protein
WP_079433201.1	"1NIJ8,2KXG206389,2VNBD,COG0778,COG0778"	-	Nitroreductase family
custom_953011_12	"1MUNC,2KVPF06389,2VNKT,COG1262,COG1262,COG4976,COG4976"	-	Sulfatase-modifying factor enzyme 1
custom_2430411_3	"1MUMI,2VI2C,44UZR,COG0704,COG0704"	phoU	Plays a role in the regulation of phosphate uptake
custom_842010_7	"1MVRB,2KUNY06389,2VJMA,COG4579,COG4579"	aceK	"Bifunctional enzyme which can phosphorylate or dephosphorylate isocitrate dehydrogenase (IDH) on a specific serine residue. This is a regulatory mechanism which enables bacteria to bypass the Krebs cycle via the glyoxylate shunt in response to the source of carbon. When bacteria are grown on glucose, IDH is fully active and unphosphorylated, but when grown on acetate or ethanol, the activity of IDH declines drastically concomitant with its phosphorylation"
custom_1013177_8	"1MWGM,2KW4306389,2VQ9H,COG2197,COG2197"	-	"helix_turn_helix, Lux Regulon"
custom_2133686_5	"1MUBC,2KV3J06389,2VIV0,COG0061,COG0061"	nadK	"Involved in the regulation of the intracellular balance of NAD and NADP, and is a key enzyme in the biosynthesis of NADP. Catalyzes specifically the phosphorylation on 2'-hydroxyl of the adenosine moiety of NAD to yield NADP"
WP_079433780.1	"1MUGX,2KV0206389,2VI3Z,COG0249,COG0249"	mutS	that it carries out the mismatch recognition step. This protein has a weak ATPase activity
WP_079433926.1	"1MZA2,2KWKU06389,2VQW2,COG3471,COG3471"	Z012_10940	secreted protein
WP_079433982.1	"1MVCD,2KVYI06389,2VIYN,COG3420,COG3420"	nosD	COG3420 Nitrous oxidase accessory protein
custom_2149066_1	"1MU37,2KUY006389,2VHGH,COG0488,COG0488"	yheS	COG0488 ATPase components of ABC transporters with duplicated ATPase domains
WP_079434731.1	"1R6S1,2KV9S06389,2VMHP,COG1538,COG1538"	cusC	Outer membrane efflux protein
custom_792625_2	"1RHH7,2KWTC06389,2VT9I,COG2893,COG2893"	manX	"Phosphotransferase system, mannose fructose-specific component IIA"
custom_2338037_5	"1MZFU,2KWYD06389,2VU4I,COG0361,COG0361"	infA	"One of the essential components for the initiation of protein synthesis. Stabilizes the binding of IF-2 and IF-3 on the 30S subunit to which N-formylmethionyl-tRNA(fMet) subsequently binds. Helps modulate mRNA selection, yielding the 30S pre- initiation complex (PIC). Upon addition of the 50S ribosomal subunit IF-1, IF-2 and IF-3 are released leaving the mature 70S translation initation complex"
custom_2597501_5	"1RJWY,2KWZB06389,2WE8P,COG3133,COG3133"	slyB	17 kDa surface antigen
custom_1985107_11	"1MVJ8,2JVP504441,2TTA4,COG4147,COG4147"	actP	Belongs to the sodium solute symporter (SSF) (TC 2.A.21) family
WP_079435688.1	"1MU7R,2KV2W06389,2VIMV,COG0489,COG0489"	mrp	Binds and transfers iron-sulfur (Fe-S) clusters to target apoproteins. Can hydrolyze ATP
custom_2298344_5	"1MUB8,2KUE606389,2VH1F,COG3437,COG3437"	rpfG	Metal dependent phosphohydrolases with conserved 'HD' motif.
custom_276057_3	"1MUT4,2KUQH06389,2VIYT,COG0275,COG0275"	rsmH	Specifically methylates the N4 position of cytidine in position 1402 (C1402) of 16S rRNA
WP_079436560.1	"1N75J,2KX1A06389,2VTYE,COG3198,COG3198"	ccoH	FixH family
WP_079436657.1	"1MV4U,2KUZY06389,2VHPE,COG1459,COG1459"	pilC	type II secretion system protein
custom_1323805_11	"1RGWC,2KWDK06389,2VSHQ,COG0229,COG0229"	msrB	Belongs to the MsrB Met sulfoxide reductase family
custom_1666369_2	"1MUUW,2KUMJ06389,2VHQX,COG1485,COG1485"	zapE	AFG1-like ATPase
WP_079436879.1	"1MY3A,2KW9U06389,2VMG1,COG2959,COG2959"	hemX	"HemX, putative uroporphyrinogen-III C-methyltransferase"
custom_39825_2	"1MVFY,2KUC206389,2VHRH,COG0348,COG0348"	ccoG	Cytochrome C oxidase accessory protein
WP_079446987.1	"1MU1N,2TR04,3JQMG,COG0148,COG0148"	eno	Catalyzes the reversible conversion of 2- phosphoglycerate into phosphoenolpyruvate. It is essential for the degradation of carbohydrates via glycolysis
custom_2618576_7	"COG2010,COG2010"	-	Cytochrome c
custom_1506855_26	"1KK82065,1MW3N,2VJG2,COG0243,COG0243,COG3383,COG3383"	fdnG	Belongs to the prokaryotic molybdopterin-containing oxidoreductase family
custom_425316_11	"1NIUD,COG2916,COG2916"	-	PFAM histone family protein nucleoid-structuring protein H-NS
WP_082024118.1	"1PRFK,2KV2F06389,2VJKQ,COG0367,COG0367"	asnB2	Asparagine synthase
WP_082034659.1	"2GN8B01174,4FE4Q021,COG3808,COG3808"	hppA	Proton pump that utilizes the energy of pyrophosphate hydrolysis as the driving force for proton movement across the membrane. Generates a proton motive force
WP_082151508.1	"1MUHM,2VKX1,4AGG70864,COG1538,COG1538"	-	Outer membrane efflux protein
custom_2278826_14	"COG0845,COG0845"	cvaA	Belongs to the membrane fusion protein (MFP) (TC 8.A.1) family
custom_2241564_2	"1Q8UH,2DMQT,2WCNH,32T2H,477YJ"	-	T4-like virus tail tube protein gp19
OQW51433.1	"1R9ZA,2U5CS,3JY2D,COG0105,COG0105"	ndk	"Major role in the synthesis of nucleoside triphosphates other than ATP. The ATP gamma phosphate is transferred to the NDP beta phosphate via a ping-pong mechanism, using a phosphorylated active-site intermediate"
custom_164675_3	"1QYJ2,2K8VM04457,2TY04,COG2931,COG2931"	-	Animal haem peroxidase
custom_1683281_2	"1MZU1,2VU50,373HH003,COG2863,COG2863"	cytC2	"PFAM Cytochrome c, class I"
custom_695553_3	"1RD0R,2VR40,37399003,COG0359,COG0359"	rplI	Binds to the 23S rRNA
custom_592064_2	"1PWG0,2WC0Q,3744F003,COG3291,COG3291"	-	Pkd domain containing protein
custom_792726_2	"1QWB9,2WGY5,371Z2003,COG2857,COG2857"	-	Cytochrome c1
custom_2425209_3	"1MV05,2VIHE,3720T003,COG0623,COG0623"	fabI	Enoyl- acyl-carrier-protein reductase NADH
WP_082307888.1	"1MUS6,2KUXR06389,2VHBJ,COG0557,COG0557"	rnr	3'-5' exoribonuclease that releases 5'-nucleoside monophosphates and is involved in maturation of structured RNAs
WP_082400291.1	"1NRP8,2K0WD04457,2U4KP,COG0642,COG2205,COG3614,COG3614"	-	PhoQ Sensor
WP_082431600.1	"1R51S,2VID9,4AASA0864,COG1506,COG1506"	-	peptidase
WP_082508207.1	"1KGZV060,1MX5C,2VK44,COG1432,COG1432"	-	NYN domain
WP_082680159.1	"1MWWV,2WNYK,42S3D,COG2373,COG2373,COG3227,COG3227,COG4412,COG4412"	-	"Converts alpha-N-acetylneuranimic acid (Neu5Ac) to the beta-anomer, accelerating the equilibrium between the alpha- and beta-anomers. Probably facilitates sialidase-negative bacteria to compete sucessfully for limited amounts of extracellular Neu5Ac, which is likely taken up in the beta-anomer. In addition, the rapid removal of sialic acid from solution might be advantageous to the bacterium to damp down host responses"
WP_083048199.1	"233H0,2GJ1C01174,COG2838,COG2838"	icd	Isocitrate dehydrogenase
custom_747112_19	"3J0AY0117,COG0422,COG0422"	thiC	Catalyzes the synthesis of the hydroxymethylpyrimidine phosphate (HMP-P) moiety of thiamine from aminoimidazole ribotide (AIR) in a radical S-adenosyl-L-methionine (SAM)-dependent reaction
custom_1572378_101	"1MUSV,1RQWA,1X5DD,COG1729,COG1729"	cpoB	Mediates coordination of peptidoglycan synthesis and outer membrane constriction during cell division
custom_2418293_14	"1RDHU,1S3PG,1X3HI,COG3023,COG3023"	ampD	N-acetylmuramoyl-L-alanine amidase
WP_083651152.1	"1KIWC065,1MVMD,2VH1J,COG4663,COG4663"	-	Part of the tripartite ATP-independent periplasmic (TRAP) transport system
WP_083734322.1	"1MUM2,2K20N04457,2TRTP,COG0330,COG0330"	hflK	HflC and HflK could encode or regulate a protease
WP_083917467.1	"1MYX2,2KPWZ06351,2VKDN,COG1538,COG1538"	aggA	Outer membrane efflux protein
WP_084207402.1	"1KQ3X066,1MVS5,2VH6I,COG4105,COG4105"	bamD	"Part of the outer membrane protein assembly complex, which is involved in assembly and insertion of beta-barrel proteins into the outer membrane"
WP_084635788.1	"1MU7V,2VHQ1,4AA920864,COG2804,COG2804"	gspE	PFAM Type II secretion system protein E
WP_084652092.1	"1MU08,2VHKE,4AAHB0864,COG2217,COG2217"	cadA	heavy metal translocating P-type ATPase
WP_084721056.1	"1N3PN,2U2TJ,COG2010,COG2010"	nirS	nitrite reductase
ARQ98173.1	"1N6VR,2YQAF,42V9Q,COG0724,COG0724"	rbpA	RNA-binding protein
custom_1919384_29	"1JTZJ045,1MUDM,2TTY5,COG2128,COG2128"	-	Antioxidant protein with alkyl hydroperoxidase activity. Required for the reduction of the AhpC active site cysteine residues and for the regeneration of the AhpC enzyme activity
custom_2254454_515	"1IXGD,4NIV8,COG2885,COG2885"	-	OmpA MotB domain protein
custom_1175817_17	"1RH3A,2VR2S,4ADW50864,COG0335,COG0335"	rplS	This protein is located at the 30S-50S ribosomal subunit interface and may play a role in the structure and function of the aminoacyl-tRNA binding site
WP_087009485.1	"2GM1301174,4FKW2023,COG0554,COG0554"	glpK	Key enzyme in the regulation of glycerol uptake and metabolism. Catalyzes the phosphorylation of glycerol to yield sn- glycerol 3-phosphate
custom_1795427_3	"1RGWK,1S67I,1XF7U,COG0347,COG0347"	-	Belongs to the P(II) protein family
